CODING,CODING - MUNICIPALITY,BARANGAY,SITIO,No. of Households,LAT,LNG,NEED_SCORE,PROVINCE,POPULATION - Male,POPULATION - Female,POPULATION - TOTAL,AGE RANGE - 0-14 years old,AGE RANGE - 15-64 years old,AGE RANGE - 65 years old and above,No. of Registered Voters,No. of Philhealth Members/Beneficiaries,No. of 4P's Beneficiaries,Top 3 Employment - 1st,EMPLOYMENT_1_COUNT,Top 3 Employment - 2nd,EMPLOYMENT_2_COUNT,Top 3 Employment - 3rd,EMPLOYMENT_3_COUNT,Top 3 Income Bracket - 1st,INCOME_1_HOUSEHOLDS,Top 3 Income Bracket - 2nd,INCOME_2_HOUSEHOLDS,Top 3 Income Bracket - 3rd,INCOME_3_HOUSEHOLDS,No. of Farmers,No. of Farmer Association,No. of Farm Area (has.),Top 5 Crops/Commodities Planted/Produced - 1st,Top 5 Crops/Commodities Planted/Produced - 2nd,Top 5 Crops/Commodities Planted/Produced - 3rd,Top 5 Crops/Commodities Planted/Produced - 4th,Top 5 Crops/Commodities Planted/Produced - 5th,No. of Water Systems,WATER_SOURCE_1,WATER_SOURCE_1_STATUS,WATER_SOURCE_2,WATER_SOURCE_2_STATUS,WATER_SOURCE_3,WATER_SOURCE_3_STATUS,No. of HH without Toilet Facility,TOILET_TYPE_1,TOILET_TYPE_2,TOILET_TYPE_3,Waste Segregation,Livestock - 1st,Livestock - 2nd,Livestock - 3rd,Pigs,Cows,Carabao,Horse,Goat,Chicken,Duck,No. of HH with Backyard Garden,Top 3 Common Garden Commodities - 1st,Top 3 Common Garden Commodities - 2nd,Top 3 Common Garden Commodities - 3rd,Housing - Quality of Housing,QUALITY_TYPE_COUNT,OWNERSHIP_TYPE_1,OWNERSHIP_TYPE_1_COUNT,OWNERSHIP_TYPE_2,OWNERSHIP_TYPE_2_COUNT,OWNERSHIP_TYPE_3,OWNERSHIP_TYPE_3_COUNT,Dogs,Cats,No. of Vaccinated (Dogs),No. of Vaccinated (Cats),No. of Sectoral Organization,Information Dissemination,Mode of Transportation,No. of HH with access to Electricity,Alternative Source of Electricity,ETHNICITY_1,ETHNICITY_2,ETHNICITY_3,RELIGION_1,RELIGION_2,RELIGION_3
001,Tubod,Poblacion,Centro,45,8.5667,123.8000,7,Lanao del Norte,118,112,230,65,145,20,150,180,12,Farming,35,Fishing,8,Trading,5,5000-10000,25,10000-20000,15,Below 5000,5,38,2,15.5,Rice,Corn,Vegetables,Cassava,Coconut,2,Level II Water System,Operational,Deep Well,Operational,Spring,Seasonal,5,Water-sealed,Pit Latrine,Pour-flush,Yes,Carabao,Chicken,Goat,15,3,8,0,5,250,20,35,Tomato,Eggplant,Okra,Good,30,Owned,35,Rented,8,Amortized,2,12,8,10,6,3,Community Meetings,Motorcycle,40,Solar Panel,Maranao,Cebuano,Visayan,Islam,Catholic,Protestant
002,Tubod,Poblacion,Riverside,32,8.5700,123.8050,6,Lanao del Norte,85,78,163,48,98,17,110,125,8,Fishing,22,Farming,10,Sari-sari Store,5,5000-10000,18,Below 5000,10,10000-20000,4,15,1,8.2,Fish,Vegetables,Rice,Corn,,1,Deep Well,Operational,,,,,8,Pit Latrine,Water-sealed,,Yes,Chicken,Goat,Pig,180,2,4,0,3,180,15,25,Pechay,Tomato,Lettuce,Fair,20,Owned,28,Rented,4,,0,8,5,6,4,2,Bulletin Board,Tricycle,30,Generator,Maranao,Cebuano,,Islam,Catholic,
003,Tubod,Santo Niño,Hillside,28,8.5800,123.7950,8,Lanao del Norte,72,68,140,42,85,13,90,105,10,Farming,20,Construction,6,Tricycle Driver,4,Below 5000,15,5000-10000,10,10000-20000,3,22,1,11.3,Corn,Cassava,Vegetables,,,1,Spring,Seasonal,,,,,12,None,Pit Latrine,,No,Carabao,Goat,Chicken,8,5,12,0,8,120,10,18,Lettuce,Beans,Tomato,Poor,10,Owned,20,Squatter,8,,0,10,6,7,4,1,Radio Broadcast,Walking,22,None,Maranao,,,Islam,,
004,Kapatagan,Benowang,Purok 1,52,7.9333,123.7500,9,Lanao del Norte,135,128,263,78,165,20,170,200,15,Farming,45,Animal Husbandry,5,Carpentry,3,Below 5000,30,5000-10000,18,10000-20000,4,48,3,22.8,Rice,Corn,Cassava,Sweet Potato,Banana,1,Level I Water System,Non-functional,Spring,Operational,Rainwater Harvesting,Seasonal,18,Pit Latrine,None,,No,Carabao,Chicken,Pig,25,8,15,2,12,380,45,42,Sweet Potato,Cassava,Corn,Poor,35,Owned,40,Squatter,10,Rented,2,18,12,12,8,2,Town Crier,Habal-habal,35,None,Maranao,Maguindanao,,Islam,,
005,Kapatagan,Benowang,Purok 2,38,7.9350,123.7520,8,Lanao del Norte,95,92,187,55,118,14,125,145,12,Farming,32,Fishing,4,Small Business,2,Below 5000,22,5000-10000,12,10000-20000,4,35,2,18.5,Corn,Rice,Vegetables,Fruit Trees,,2,Deep Well,Operational,Level II Water System,Operational,,,10,Water-sealed,Pit Latrine,,Yes,Chicken,Goat,Pig,280,4,8,1,6,280,30,30,Tomato,Eggplant,Bitter Gourd,Fair,25,Owned,30,Rented,6,Amortized,2,14,9,11,7,3,Community Meetings,Motorcycle,35,Solar Panel,Maranao,,,Islam,Catholic,
006,Bacolod,Babalaya,Sitio Proper,60,8.2000,123.9500,5,Lanao del Norte,155,148,303,85,195,23,200,240,8,Trading,25,Fishing,20,Farming,15,10000-20000,30,5000-10000,20,20000-50000,10,20,1,9.5,Fish,Vegetables,Coconut,,,3,Level III Water System,Operational,Level II Water System,Operational,Deep Well,Operational,3,Water-sealed,Pour-flush,Septic Tank,Yes,Chicken,Goat,Duck,320,1,5,0,4,320,80,48,Pechay,Lettuce,Tomato,Good,45,Owned,50,Amortized,8,Rented,2,22,15,20,13,4,SMS/Social Media,Motorcycle,58,Grid Connection,Maranao,Cebuano,Boholano,Islam,Catholic,Iglesia ni Cristo
007,Bacolod,Babalaya,Riverside,25,8.2020,123.9520,6,Lanao del Norte,62,58,120,35,75,10,80,95,6,Fishing,18,Farming,5,Laborer,3,5000-10000,15,Below 5000,8,10000-20000,2,8,1,4.2,Fish,Rice,Vegetables,,,1,River Water,Seasonal,,,,,8,Pit Latrine,Water-sealed,,Yes,Chicken,Duck,Pig,150,0,2,0,3,150,25,20,Okra,Tomato,Pechay,Fair,18,Owned,20,Squatter,5,,0,10,7,8,5,2,Bulletin Board,Banca,23,None,Maranao,Cebuano,,Islam,Catholic,
008,Tubod,Santo Niño,Valley View,42,8.5850,123.7920,7,Lanao del Norte,108,102,210,62,132,16,140,165,11,Farming,35,Tricycle Driver,5,Construction,3,5000-10000,24,Below 5000,12,10000-20000,6,32,2,16.8,Corn,Rice,Vegetables,Cassava,Banana,2,Level II Water System,Operational,Spring,Seasonal,,,6,Water-sealed,Pit Latrine,Pour-flush,Yes,Carabao,Chicken,Goat,18,6,10,0,8,280,25,35,Eggplant,Tomato,Beans,Good,32,Owned,38,Rented,3,Amortized,1,15,10,13,8,3,Community Meetings,Tricycle,38,Solar Panel,Maranao,Visayan,,Islam,Protestant,
009,Kapatagan,Taguranao,Purok Centro,55,7.9500,123.7800,9,Lanao del Norte,142,135,277,82,175,20,185,210,18,Farming,48,Animal Raising,5,Sari-sari Store,3,Below 5000,32,5000-10000,18,10000-20000,5,50,3,25.5,Rice,Corn,Vegetables,Cassava,Coconut,1,Level I Water System,Non-functional,,,,,20,Pit Latrine,None,,No,Carabao,Chicken,Goat,28,10,18,3,15,420,50,45,Sweet Potato,Cassava,Corn,Poor,40,Owned,42,Squatter,12,Rented,1,20,14,15,10,2,Town Crier,Walking,40,None,Maranao,,,Islam,,
010,Bacolod,Minaulon,Coastal,35,8.2100,123.9600,4,Lanao del Norte,90,85,175,50,110,15,115,140,5,Fishing,28,Trading,5,Laborer,2,10000-20000,20,5000-10000,10,20000-50000,5,5,0,2.5,Fish,Coconut,,,3,Level III Water System,Operational,Deep Well,Operational,,,2,Water-sealed,Septic Tank,,Yes,Chicken,Duck,Pig,220,0,3,0,2,220,60,28,Pechay,Tomato,Lettuce,Good,28,Owned,30,Amortized,4,Rented,1,12,8,11,7,3,SMS/Social Media,Banca,34,Grid Connection,Cebuano,Maranao,Boholano,Catholic,Islam,Protestant
