CODING,CODING - MUNICIPALITY,BARANGAY,SITIO,No. of Households,LAT,LNG,NEED_SCORE,PROVINCE,POPULATION - Male,POPULATION - Female,POPULATION - TOTAL,AGE RANGE - 0-14 years old,AGE RANGE - 15-64 years old,AGE RANGE - 65 years old and above,No. of Registered Voters,No. of Philhealth Members/Beneficiaries,No. of 4P's Beneficiaries,Top 3 Employment - 1st,EMPLOYMENT_1_COUNT,Top 3 Employment - 2nd,EMPLOYMENT_2_COUNT,Top 3 Employment - 3rd,EMPLOYMENT_3_COUNT,Top 3 Income Bracket - 1st,INCOME_1_HOUSEHOLDS,Top 3 Income Bracket - 2nd,INCOME_2_HOUSEHOLDS,Top 3 Income Bracket - 3rd,INCOME_3_HOUSEHOLDS,No. of Farmers,No. of Farmer Association,No. of Farm Area (has.),Top 5 Crops/Commodities Planted/Produced - 1st,Top 5 Crops/Commodities Planted/Produced - 2nd,Top 5 Crops/Commodities Planted/Produced - 3rd,Top 5 Crops/Commodities Planted/Produced - 4th,Top 5 Crops/Commodities Planted/Produced - 5th,No. of Water Systems,WATER_SOURCE_1,WATER_SOURCE_1_STATUS,WATER_SOURCE_2,WATER_SOURCE_2_STATUS,WATER_SOURCE_3,WATER_SOURCE_3_STATUS,No. of HH without Toilet Facility,TOILET_TYPE_1,TOILET_TYPE_2,TOILET_TYPE_3,Waste Segregation,Livestock - 1st,Livestock - 2nd,Livestock - 3rd,Pigs,Cows,Carabao,Horse,Goat,Chicken,Duck,No. of HH with Backyard Garden,Top 3 Common Garden Commodities - 1st,Top 3 Common Garden Commodities - 2nd,Top 3 Common Garden Commodities - 3rd,Housing - Quality of Housing,QUALITY_TYPE_COUNT,OWNERSHIP_TYPE_1,OWNERSHIP_TYPE_1_COUNT,OWNERSHIP_TYPE_2,OWNERSHIP_TYPE_2_COUNT,OWNERSHIP_TYPE_3,OWNERSHIP_TYPE_3_COUNT,Dogs,Cats,No. of Vaccinated (Dogs),No. of Vaccinated (Cats),No. of Sectoral Organization,Information Dissemination,Mode of Transportation,No. of HH with access to Electricity,Alternative Source of Electricity,ETHNICITY_1,ETHNICITY_2,ETHNICITY_3,RELIGION_1,RELIGION_2,RELIGION_3
001,Tubod,Poblacion,Centro,50,8.5667,123.8000,7,Lanao del Norte,125,120,245,70,155,20,165,190,15,Farming,40,Fishing,10,Trading,8,5000-10000,28,10000-20000,18,Below 5000,4,42,2,18.5,Rice,Corn,Vegetables,Cassava,Coconut,2,Level II Water System,Operational,Deep Well,Operational,Spring,Seasonal,6,Water-sealed,Pit Latrine,Pour-flush,Yes,Carabao,Chicken,Goat,18,4,10,0,6,280,25,38,Tomato,Eggplant,Okra,Good,35,Owned,40,Rented,8,Amortized,2,15,10,12,8,3,Community Meetings,Motorcycle,45,Solar Panel,Maranao,Cebuano,Visayan,Islam,Catholic,Protestant
002,Tubod,San Antonio,Purok 1,35,8.5800,123.7900,6,Lanao del Norte,88,85,173,52,108,13,115,135,10,Fishing,25,Farming,8,Retail,5,5000-10000,20,Below 5000,12,10000-20000,3,18,1,9.5,Fish,Vegetables,Rice,Corn,,1,Deep Well,Operational,,,,,7,Pit Latrine,Water-sealed,,Yes,Chicken,Goat,Pig,150,3,5,0,4,150,18,28,Pechay,Tomato,Lettuce,Fair,25,Owned,30,Rented,5,,0,10,6,8,5,2,Bulletin Board,Tricycle,32,Generator,Maranao,Cebuano,,Islam,Catholic,
003,Kapatagan,Benowang,Sitio Riverside,45,7.9333,123.7500,8,Lanao del Norte,115,108,223,68,140,15,145,170,18,Farming,38,Animal Husbandry,6,Carpentry,4,Below 5000,25,5000-10000,15,10000-20000,5,40,2,20.5,Rice,Corn,Cassava,Sweet Potato,Banana,1,Level I Water System,Non-functional,Spring,Operational,Rainwater Harvesting,Seasonal,15,Pit Latrine,None,,No,Carabao,Chicken,Pig,22,6,12,1,10,320,35,35,Sweet Potato,Cassava,Corn,Poor,30,Owned,35,Squatter,8,Rented,2,12,8,9,6,2,Town Crier,Habal-habal,30,None,Maranao,Maguindanao,,Islam,,
004,Marawi City,Bangon,Purok 1,60,7.9980,124.2920,9,Lanao del Sur,155,148,303,92,188,23,200,235,22,Fishing,45,Trading,12,Farming,8,10000-20000,30,5000-10000,22,Below 5000,8,28,1,12.8,Fish,Corn,Vegetables,,,2,Deep Well,Operational,Spring,Seasonal,,,12,Water-sealed,Pit Latrine,,Yes,Chicken,Goat,Duck,200,2,8,0,12,400,55,42,Eggplant,Tomato,Pepper,Fair,40,Owned,48,Rented,10,Amortized,2,18,14,15,10,4,Social Media,Tricycle,52,Generator,Maranao,,,Islam,,
005,Iligan City,Tibanga,Purok Masaya,75,8.2280,124.2450,5,Lanao del Norte,195,188,383,115,238,30,255,300,12,Retail,35,Construction,20,Driver,15,10000-20000,40,20000-30000,25,5000-10000,10,18,1,7.2,Vegetables,Fruit Trees,,,,,3,Level III Water System,Operational,Deep Well,Operational,,,2,Water-sealed,Pour-flush,,Yes,Chicken,Pig,Goat,120,8,5,0,15,350,40,55,Tomato,Lettuce,Cabbage,Good,60,Owned,65,Amortized,8,Rented,2,22,18,20,16,5,House-to-House,Jeepney,72,None,Cebuano,Maranao,Visayan,Catholic,Islam,Protestant
006,Kauswagan,Poblacion,Centro,42,8.1833,124.0833,7,Lanao del Norte,105,102,207,62,128,17,138,162,14,Farming,32,Fishing,8,Trading,6,5000-10000,24,Below 5000,14,10000-20000,4,35,2,16.3,Rice,Corn,Vegetables,Cassava,,2,Level II Water System,Operational,Spring,Operational,,,8,Water-sealed,Pit Latrine,,Yes,Carabao,Chicken,Goat,25,6,14,0,8,280,30,32,Tomato,Eggplant,Ampalaya,Fair,28,Owned,36,Rented,5,Squatter,1,14,9,11,7,3,Barangay Assembly,Motorcycle,38,Solar Panel,Maranao,Cebuano,,Islam,Catholic,
007,Linamon,Napo,Purok 2,38,8.1833,124.1667,6,Lanao del Norte,98,92,190,58,118,14,125,148,10,Fishing,28,Farming,10,Vending,5,5000-10000,22,Below 5000,12,10000-20000,4,15,1,6.8,Fish,Vegetables,Rice,,,1,Deep Well,Operational,,,,,9,Pit Latrine,Water-sealed,,Yes,Chicken,Pig,Duck,180,4,6,0,5,220,45,28,Kangkong,Pechay,Tomato,Fair,24,Owned,32,Rented,6,,0,12,7,10,6,2,Text Messaging,Tricycle,34,Generator,Cebuano,Maranao,,Catholic,Islam,
008,Baloi,San Isidro,Sitio Maligaya,52,7.9833,124.2167,8,Lanao del Norte,135,128,263,80,165,18,175,205,20,Farming,42,Livestock Raising,8,Carpentry,6,Below 5000,28,5000-10000,18,10000-20000,6,45,3,23.5,Rice,Corn,Cassava,Sweet Potato,Vegetables,1,Spring,Seasonal,Rainwater Harvesting,Seasonal,,,16,Pit Latrine,None,,No,Carabao,Chicken,Goat,28,10,18,2,12,380,40,40,Sweet Potato,Beans,Corn,Poor,35,Owned,42,Squatter,8,Rented,2,16,10,12,8,2,Radio Broadcast,Walking,35,None,Maranao,Cebuano,,Islam,Catholic,
009,Pantar,Poblacion,Purok Centro,55,7.8667,124.2667,7,Lanao del Norte,142,138,280,85,175,20,185,218,16,Farming,45,Trading,10,Construction,8,5000-10000,30,10000-20000,20,Below 5000,5,48,2,21.2,Rice,Corn,Vegetables,Coconut,,2,Level II Water System,Operational,Deep Well,Operational,,,7,Water-sealed,Pit Latrine,Pour-flush,Yes,Carabao,Chicken,Pig,30,8,15,0,10,320,35,42,Tomato,Eggplant,Sili,Good,38,Owned,48,Rented,6,Amortized,1,18,12,14,10,4,Community Meetings,Motorcycle,50,Solar Panel,Maranao,Cebuano,Visayan,Islam,Catholic,Protestant
010,Tagoloan,Cugman,Riverside,48,8.5333,124.7500,6,Misamis Oriental,125,118,243,73,152,18,162,190,12,Farming,35,Fishing,10,Retail,8,10000-20000,28,5000-10000,16,Below 5000,4,32,2,14.5,Rice,Vegetables,Corn,Fish,Coconut,2,Level III Water System,Operational,Deep Well,Operational,,,5,Water-sealed,Pour-flush,,Yes,Chicken,Pig,Goat,180,6,8,0,12,280,32,38,Tomato,Lettuce,Cabbage,Good,40,Owned,42,Amortized,5,Rented,1,16,11,13,9,3,Social Media,Tricycle,45,Generator,Cebuano,Visayan,,Catholic,Protestant,
